iter	Passed	Remaining
908	2224	222
909	2226	220
910	2228	217
911	2230	215
912	2232	212
913	2233	210
914	2237	207
915	2239	205
916	2241	202
917	2243	200
918	2244	197
919	2246	195
920	2248	192
921	2250	190
922	2253	187
923	2255	185
924	2257	183
925	2259	180
926	2261	178
927	2262	175
928	2264	173
929	2269	170
930	2271	168
931	2273	165
932	2275	163
933	2277	160
934	2278	158
935	2280	155
936	2284	153
937	2286	151
938	2288	148
939	2290	146
940	2292	143
941	2293	141
942	2295	138
943	2299	136
944	2302	133
945	2304	131
946	2306	129
947	2308	126
948	2310	124
949	2314	121
950	2316	119
951	2318	116
952	2319	114
953	2321	111
954	2323	109
955	2325	107
956	2328	104
957	2330	102
958	2332	99
959	2334	97
960	2335	94
961	2337	92
962	2339	89
963	2341	87
964	2343	85
965	2345	82
966	2347	80
967	2350	77
968	2352	75
969	2354	72
970	2358	70
971	2359	67
972	2361	65
973	2363	63
974	2365	60
975	2366	58
976	2368	55
977	2372	53
978	2374	50
979	2376	48
980	2377	46
981	2379	43
982	2381	41
983	2383	38
984	2385	36
985	2388	33
986	2390	31
987	2392	29
988	2393	26
989	2395	24
990	2397	21
991	2399	19
992	2403	16
993	2404	14
994	2406	12
995	2408	9
996	2410	7
997	2412	4
998	2413	2
999	2417	0
